CustomerKey,Name,Education,Occupation,Customer_Type
206,"Fernandez, Abby",High School,Professional,registered
207,"Flores, Blake",Partial College,Professional,registered
208,"Cox, Danielle",Partial College,Professional,registered
209,"Reed, Maria",Bachelors,Management,registered
210,"Evans, Allison",Bachelors,Management,registered
211,"Wood, Edward",Partial College,Professional,registered
214,"Murphy, Stephanie",Partial College,Professional,registered
215,"Miller, Charles",Partial College,Professional,registered
217,"Torres, Jasmine",Partial College,Professional,registered
218,"Adams, Natalie",Partial College,Professional,registered
219,"Brown, Olivia",Partial College,Professional,registered
220,"Cook, Charles",High School,Professional,registered
221,"Huang, Erica",Partial College,Professional,registered
222,"Perry, Nathan",Partial College,Professional,registered
223,"Rivera, Alexandra",Bachelors,Management,registered
225,"Li, Tiffany",High School,Professional,registered
226,"Lee, Madison",Partial College,Professional,registered
227,"Ross, Sydney",Partial College,Professional,registered
228,"Chavez, Marshall",Partial College,Professional,registered
229,"Jones, Ashley",Partial College,Professional,registered
230,"Stewart, Adrian",Partial College,Professional,registered
231,"Turner, Amber",Partial College,Professional,registered
232,"Zhang, Dennis",High School,Professional,registered
233,"Bryant, Hailey",High School,Professional,registered
234,"Li, Todd",Partial College,Professional,registered
235,"Griffin, Anna",Partial College,Professional,registered
236,"Stewart, Angel",Partial College,Professional,registered
237,"Butler, Jeremy",Partial College,Professional,registered
238,"Anand, Clarence",Bachelors,Management,registered
246,"Vazquez, Ricky",High School,Professional,registered
247,"Rubio, Latasha",High School,Professional,registered
250,"Patel, Cindy",Partial College,Professional,registered
253,"Thompson, Nicholas",Graduate Degree,Management,registered
255,"Vance, Johnathan",Graduate Degree,Management,registered
256,"Lin, Colin",Graduate Degree,Management,registered
257,"Hernandez, Katelyn",Graduate Degree,Management,registered
258,"Powell, Jacqueline",Graduate Degree,Management,registered
259,"Hill, Xavier",Graduate Degree,Management,registered
260,"Stewart, Victoria",Partial College,Professional,registered
261,"Kelly, Katelyn",Bachelors,Management,registered
262,"Collins, Stephanie",Graduate Degree,Management,registered
264,"Richardson, Trinity",Partial College,Professional,registered
265,"Martin, Eduardo",Partial College,Professional,registered
266,"Jones, Elizabeth",Partial College,Professional,registered
267,"Howard, Taylor",Partial College,Professional,registered
268,"Diaz, David",Partial College,Professional,registered
269,"Carter, Katelyn",Graduate Degree,Management,registered
270,"Foster, Ryan",Graduate Degree,Management,registered
271,"Lee, Robert",Graduate Degree,Management,registered
272,"Reed, Danielle",Bachelors,Management,registered
273,"Martinez, Lauren",Partial College,Professional,registered
274,"Lal, Nathan",Partial College,Professional,registered
275,"Foster, Kyle",Graduate Degree,Management,registered
276,"Rai, Jenny",Graduate Degree,Management,registered
279,"Phillips, Jonathan",Partial College,Professional,registered
280,"Cook, Amanda",Partial College,Professional,registered
281,"Collins, Robert",Partial College,Professional,registered
282,"Barnes, Megan",Bachelors,Management,registered
283,"Thomas, Christian",Partial College,Professional,registered
284,"Lal, Arturo",Bachelors,Management,registered
285,"Serrano, Theresa",Bachelors,Management,registered
286,"Anderson, Jeremy",Partial College,Professional,registered
287,"Griffin, Hunter",Graduate Degree,Management,registered
289,"Sanchez, Cindy",Bachelors,Management,registered
290,"Carter, Maria",Bachelors,Management,registered
291,"Sanchez, Katelyn",Bachelors,Management,registered
292,"Wright, Jenna",Bachelors,Management,registered
293,"Phillips, Seth",Partial College,Professional,registered
294,"Long, Luke",High School,Professional,registered
295,"Clark, Dalton",High School,Professional,registered
296,"Lewis, Taylor",Partial High School,Skilled Manual,registered
297,"Richardson, Haley",Graduate Degree,Management,registered
298,"Coleman, Noah",Graduate Degree,Management,registered
299,"Luo, Jon",Graduate Degree,Management,registered
300,"Vazquez, Orlando",Graduate Degree,Management,registered
306,"Evans, Sean",Partial College,Professional,registered
307,"Zhou, Micah",Partial College,Professional,registered
316,"Ward, Hailey",Graduate Degree,Management,registered
318,"Russell, Victoria",Partial College,Professional,registered
319,"Wilson, Jessica",Partial College,Professional,registered
320,"Bailey, Jade",Graduate Degree,Management,registered
321,"Hill, Morgan",Graduate Degree,Management,registered
322,"Raman, Terrance",Bachelors,Management,registered
323,"Garcia, Sydney",Bachelors,Management,registered
324,"Patterson, Jose",Graduate Degree,Management,registered
325,"Anderson, Zachary",Bachelors,Management,registered
326,"Ross, Elijah",Bachelors,Management,registered
327,"Xie, Rafael",Bachelors,Management,registered
328,"Moreno, Jaime",Bachelors,Management,registered
330,"Alvarez, Andy",Bachelors,Management,registered
333,"Ramos, Deanna",Graduate Degree,Manual,registered
336,"Raman, Carla",Bachelors,Manual,registered
339,"Navarro, Frank",Graduate Degree,Clerical,registered
348,"Navarro, Roy",Partial College,Manual,registered
349,"Rai, Shawn",Partial College,Manual,registered
350,"Luo, Mindy",Partial College,Manual,registered
355,"Suarez, Deanna",Partial College,Manual,registered
374,"Luo, Carly",Bachelors,Clerical,registered
375,"Ortega, Jimmy",Bachelors,Clerical,registered
378,"Robinett, David",Graduate Degree,Clerical,registered
381,"Kumar, Mitchell",Partial College,Manual,registered
387,"Cai, Jaclyn",Bachelors,Clerical,registered
390,"Shan, Karl",High School,Manual,registered
392,"Xie, Lindsay",High School,Manual,registered
393,"Zhao, Willie",High School,Manual,registered
396,"Gutierrez, Beth",Bachelors,Clerical,registered
397,"Lopez, Ian",High School,Manual,registered
405,"Taylor, Megan",Partial College,Manual,registered
406,"Goel, Bonnie",Partial College,Manual,registered
408,"She, Mario",Partial College,Manual,registered
412,"Ross, Devin",Partial College,Professional,registered
413,"Bryant, Sydney",Partial College,Professional,registered
416,"She, Randy",Partial College,Professional,registered
419,"Hu, Rafael",Partial College,Professional,registered
422,"Sun, Amy",Bachelors,Management,registered
424,"Stewart, Jasmine",Partial College,Professional,registered
425,"Garcia, Pamela",Partial College,Professional,registered
427,"Mehta, Kristopher",Bachelors,Management,registered
428,"Dominguez, Desiree",Partial College,Professional,registered
429,"Perez, Deanna",Bachelors,Management,registered
431,"Yuan, Casey",High School,Professional,registered
432,"Garcia, Bryant",Partial College,Professional,registered
436,"Romero, Robin",Partial College,Management,registered
439,"Nara, Jenny",High School,Management,registered
471,"Suarez, Jay",Partial High School,Manual,registered
478,"Hughes, Tristan",High School,Manual,registered
482,"Hu, Erica",Bachelors,Skilled Manual,registered
485,"Sai, Erick",Partial College,Clerical,registered
487,"Rogers, Ariana",Partial High School,Manual,registered
493,"Chander, Terrence",High School,Manual,registered
496,"Jimenez, Francis",Partial College,Clerical,registered
500,"Vance, Pedro",Partial College,Clerical,registered
505,"Baker, Jordan",Bachelors,Skilled Manual,registered
509,"Wilson, Elizabeth",Graduate Degree,Skilled Manual,registered
510,"Harui, Roger",Bachelors,Skilled Manual,registered
512,"Perry, Caleb",Bachelors,Skilled Manual,registered
515,"Diaz, Dalton",High School,Clerical,registered
516,"Huang, Shannon",High School,Clerical,registered
517,"Gonzales, Mya",High School,Clerical,registered
518,"Bryant, Katherine",Partial College,Clerical,registered
519,"Washington, Edward",Partial College,Clerical,registered
522,"Peterson, Ariana",Partial College,Clerical,registered
523,"Hughes, Christian",Graduate Degree,Skilled Manual,registered
525,"Jackson, Alyssa",Partial College,Clerical,registered
545,"Garcia, Joel",Bachelors,Clerical,registered
553,"Rubio, Eddie",Partial College,Manual,registered
560,"Subram, Frederick",Bachelors,Clerical,registered
562,"Dominguez, Briana",Partial High School,Manual,registered
563,"Gonzalez, Jarrod",High School,Manual,registered
565,"Liang, Jorge",High School,Manual,registered
568,"Perez, Carla",Bachelors,Clerical,registered
571,"Andersen, Kristin",Bachelors,Skilled Manual,registered
585,"Carter, Devin",Bachelors,Skilled Manual,registered
596,"Howard, Sebastian",High School,Manual,registered
599,"Ruiz, Meredith",Partial College,Clerical,registered
603,"Gill, Larry",Partial College,Clerical,registered
606,"Subram, Heidi",High School,Manual,registered
614,"Prasad, Meredith",Partial College,Clerical,registered
615,"Sharma, Katrina",Partial College,Clerical,registered
640,"Perry, Angelica",Graduate Degree,Professional,registered
644,"Munoz, Naomi",Bachelors,Skilled Manual,registered
645,"Torres, Charles",Bachelors,Skilled Manual,registered
646,"Turner, Gabriella",Bachelors,Skilled Manual,registered
647,"Foster, Anna",Bachelors,Skilled Manual,registered
649,"Scott, Kevin",Graduate Degree,Professional,registered
650,"White, Ian",Graduate Degree,Professional,registered
651,"Hayes, Caleb",Graduate Degree,Professional,registered
654,"Peterson, Sydney",Graduate Degree,Professional,registered
655,"Sanchez, Ariana",Graduate Degree,Professional,registered
656,"Sharma, Tamara",Graduate Degree,Professional,registered
657,"Perez, Katelyn",Graduate Degree,Professional,registered
658,"Cox, Megan",Graduate Degree,Professional,registered
659,"Mitchell, Robert",Graduate Degree,Professional,registered
663,"Kumar, Ethan",Graduate Degree,Professional,registered
664,"Williams, Seth",Graduate Degree,Professional,registered
665,"Morgan, Alyssa",Graduate Degree,Professional,registered
666,"Dominguez, Janet",Graduate Degree,Professional,registered
667,"Baker, Angel",Graduate Degree,Professional,registered
668,"Moore, Blake",Bachelors,Skilled Manual,registered
669,"Collins, Jada",Bachelors,Skilled Manual,registered
670,"Simmons, Isabella",Bachelors,Skilled Manual,registered
671,"Perry, Jacqueline",Bachelors,Skilled Manual,registered
672,"Brown, Jessica",Bachelors,Skilled Manual,registered
673,"Jai, Chad",Bachelors,Skilled Manual,registered
674,"Ye, Susan",Bachelors,Skilled Manual,registered
675,"Rogers, Morgan",Graduate Degree,Professional,registered
676,"Martinez, Devin",Graduate Degree,Professional,registered
677,"Hu, Alan",Graduate Degree,Professional,registered
679,"Chavez, Johnny",Graduate Degree,Professional,registered
680,"Richardson, Dalton",Graduate Degree,Professional,registered
681,"Nelson, Kaylee",Graduate Degree,Professional,registered
682,"Jones, Abigail",Graduate Degree,Professional,registered
683,"Hall, Kaitlyn",Graduate Degree,Professional,registered
684,"Taylor, Greg",Graduate Degree,Professional,registered
685,"Parker, Devin",Bachelors,Professional,registered
686,"Griffin, Jose",Bachelors,Professional,registered
687,"Edwards, Luke",Bachelors,Professional,registered
688,"Torres, Cody",Bachelors,Professional,registered
689,"Morris, Victoria",Bachelors,Skilled Manual,registered
690,"Diaz, Ian",Bachelors,Skilled Manual,registered
691,"Butler, Caroline",Graduate Degree,Professional,registered
692,"Wilson, Kaitlyn",Bachelors,Professional,registered
693,"Gonzales, Caleb",Bachelors,Professional,registered
695,"Ortega, Jonathon",Bachelors,Skilled Manual,registered
696,"Campbell, Logan",Bachelors,Skilled Manual,registered
697,"Campbell, Mackenzie",Bachelors,Skilled Manual,registered
698,"Lee, Eduardo",Bachelors,Skilled Manual,registered
700,"Peterson, Chase",Bachelors,Skilled Manual,registered
701,"Richardson, Xavier",Bachelors,Professional,registered
702,"Hayes, David",Bachelors,Professional,registered
703,"Zhou, Jenny",Bachelors,Professional,registered
704,"Baker, Kaylee",Bachelors,Professional,registered
705,"Hernandez, Evan",Bachelors,Professional,registered
706,"Richardson, Brooke",Graduate Degree,Professional,registered
707,"Perez, Blake",Bachelors,Professional,registered
708,"Cook, Natalie",Bachelors,Professional,registered
709,"Weisman, Elizabeth",Bachelors,Professional,registered
711,"Ramirez, Zoe",High School,Skilled Manual,registered
714,"Zhang, Kyle",Partial College,Skilled Manual,registered
715,"Long, Alexandria",Partial College,Skilled Manual,registered
716,"Robinson, Chloe",Partial College,Skilled Manual,registered
717,"Kelly, Evan",High School,Skilled Manual,registered
718,"Jones, Marcus",Partial College,Skilled Manual,registered
719,"Jones, Sarah",Partial College,Skilled Manual,registered
721,"Morris, Morgan",High School,Skilled Manual,registered
722,"Alexander, Jennifer",High School,Skilled Manual,registered
723,"Hughes, Julian",Partial College,Skilled Manual,registered
726,"Li, Jose",Partial College,Skilled Manual,registered
727,"Liang, Micah",Partial College,Skilled Manual,registered
728,"Taylor, Benjamin",Graduate Degree,Professional,registered
729,"White, Logan",Partial College,Skilled Manual,registered
730,"Campbell, Caleb",Partial College,Skilled Manual,registered
731,"Torres, Emma",Partial College,Skilled Manual,registered
732,"Gill, Tanya",Partial College,Skilled Manual,registered
733,"Sanchez, Erick",Partial College,Skilled Manual,registered
734,"Schmidt, Kristi",Partial College,Skilled Manual,registered
735,"Chen, Omar",Partial College,Skilled Manual,registered
736,"Gray, Sydney",Partial College,Skilled Manual,registered
737,"Sanchez, Sebastian",Partial College,Skilled Manual,registered
738,"Martin, Megan",Bachelors,Professional,registered
742,"Chander, Tamara",Graduate Degree,Professional,registered
743,"Lewis, Edward",Bachelors,Professional,registered
744,"Kelly, Chase",Bachelors,Professional,registered
745,"Campbell, Stephanie",Bachelors,Professional,registered
746,"Gonzalez, Allison",Bachelors,Professional,registered
747,"Brooks, Seth",Bachelors,Professional,registered
748,"Davis, Destiny",Graduate Degree,Professional,registered
771,"Nara, Peter",Graduate Degree,Skilled Manual,registered
772,"Rivera, Isaac",Graduate Degree,Skilled Manual,registered
773,"Moore, Cameron",Graduate Degree,Skilled Manual,registered
774,"Diaz, Gavin",Graduate Degree,Skilled Manual,registered
775,"Sanchez, Emma",Graduate Degree,Skilled Manual,registered
780,"Jackson, Sarah",Graduate Degree,Skilled Manual,registered
781,"Alexander, Jessica",Graduate Degree,Skilled Manual,registered
782,"Gray, Carlos",Graduate Degree,Skilled Manual,registered
783,"Jai, Barbara",Graduate Degree,Skilled Manual,registered
784,"Mitchell, Sara",Graduate Degree,Skilled Manual,registered
786,"Diaz, Theodore",Bachelors,Skilled Manual,registered
787,"Murphy, Ian",Graduate Degree,Skilled Manual,registered
788,"Nath, Jerry",Graduate Degree,Skilled Manual,registered
789,"James, Destiny",Graduate Degree,Professional,registered
790,"Phillips, Bailey",Bachelors,Skilled Manual,registered
791,"Gonzalez, Timothy",Bachelors,Skilled Manual,registered
792,"Morgan, Chase",Graduate Degree,Professional,registered
793,"Perry, Alexia",Bachelors,Skilled Manual,registered
794,"Rogers, Xavier",Bachelors,Skilled Manual,registered
795,"Ross, Lauren",Bachelors,Skilled Manual,registered
796,"Thomas, Nicole",Bachelors,Skilled Manual,registered
797,"Jenkins, Isabel",Bachelors,Skilled Manual,registered
798,"Coleman, Devin",Bachelors,Skilled Manual,registered
799,"Chande, Brendan",Bachelors,Skilled Manual,registered
800,"Wang, Jessie",Bachelors,Skilled Manual,registered
801,"Baker, Jennifer",Graduate Degree,Professional,registered
802,"Sharma, Aaron",Graduate Degree,Professional,registered
804,"Hernandez, Jan",Graduate Degree,Professional,registered
805,"Turner, Haley",Graduate Degree,Professional,registered
806,"Green, Richard",Graduate Degree,Professional,registered
807,"Stewart, Jennifer",Graduate Degree,Professional,registered
808,"Baker, Lucas",Graduate Degree,Professional,registered
810,"Gray, Juan",Bachelors,Skilled Manual,registered
811,"Washington, Antonio",Bachelors,Professional,registered
812,"Brooks, Abigail",Bachelors,Professional,registered
813,"Rodriguez, Andrew",Bachelors,Professional,registered
814,"Patterson, Mary",Bachelors,Professional,registered
815,"Morgan, Dalton",Graduate Degree,Professional,registered
816,"Patterson, Hannah",Graduate Degree,Professional,registered
817,"Torres, Joe",Graduate Degree,Professional,registered
818,"Miller, Morgan",Graduate Degree,Professional,registered
819,"Garcia, Daniel",Graduate Degree,Professional,registered
820,"Lal, Jose",Bachelors,Skilled Manual,registered
822,"Johnson, Austin",Graduate Degree,Professional,registered
823,"Wadia, Rohinton",Graduate Degree,Professional,registered
826,"She, Aimee",Graduate Degree,Professional,registered
827,"Alonso, Jessie",Graduate Degree,Professional,registered
829,"Martinez, Katherine",Graduate Degree,Professional,registered
830,"Campbell, Sophia",Graduate Degree,Professional,registered
831,"Garcia, Taylor",Graduate Degree,Professional,registered
832,"Ross, Christian",Graduate Degree,Professional,registered
833,"Murphy, Zoe",Bachelors,Professional,registered
835,"Flores, Fernando",Bachelors,Skilled Manual,registered
837,"Travers, Garrett",Bachelors,Skilled Manual,registered
838,"Alexander, Haley",Bachelors,Skilled Manual,registered
839,"Rodriguez, Justin",Bachelors,Skilled Manual,registered
840,"Brown, Tyler",Graduate Degree,Professional,registered
841,"Patterson, Julian",Graduate Degree,Professional,registered
843,"Wilson, Justin",Bachelors,Skilled Manual,registered
844,"Nara, Christy",Bachelors,Skilled Manual,registered
845,"Alvarez, Michele",Bachelors,Skilled Manual,registered
847,"Reed, Savannah",Bachelors,Skilled Manual,registered
848,"Diaz, Cassidy",Bachelors,Skilled Manual,registered
849,"Lewis, Joshua",Bachelors,Skilled Manual,registered
850,"Reed, Faith",Bachelors,Skilled Manual,registered
851,"Ramirez, Brooke",Bachelors,Skilled Manual,registered
852,"Mitchell, Jada",Bachelors,Professional,registered
853,"Russell, Kyle",Bachelors,Professional,registered
854,"Jones, Grace",Bachelors,Professional,registered
855,"Mitchell, Jason",Graduate Degree,Professional,registered
856,"Walker, Christian",Bachelors,Professional,registered
857,"Hernandez, Seth",Graduate Degree,Professional,registered
858,"Young, Isabella",Graduate Degree,Professional,registered
859,"Coleman, Jordan",High School,Skilled Manual,registered
860,"Garcia, Blake",Partial College,Skilled Manual,registered
861,"Walker, Nicole",Partial College,Skilled Manual,registered
877,"White, Madison",Partial College,Skilled Manual,registered
878,"Diaz, Alexis",Partial College,Skilled Manual,registered
879,"Nara, Christine",Partial College,Skilled Manual,registered
880,"Sai, Edgar",Partial College,Skilled Manual,registered
881,"Sanchez, Melissa",Partial College,Skilled Manual,registered
882,"Mitchell, Richard",Bachelors,Professional,registered
883,"Stewart, Patrick",Bachelors,Professional,registered
884,"Anderson, Hannah",Graduate Degree,Professional,registered
885,"Shen, Latoya",Graduate Degree,Professional,registered
886,"Sharma, Kurt",Graduate Degree,Professional,registered
887,"Parker, Katelyn",Bachelors,Professional,registered
888,"White, Joseph",Bachelors,Professional,registered
890,"Patterson, Blake",Bachelors,Professional,registered
891,"Lopez, Whitney",Graduate Degree,Professional,registered
892,"Liang, Jamie",Graduate Degree,Professional,registered
924,"Bryant, Sarah",Partial College,Skilled Manual,registered
925,"Long, Ian",Partial College,Skilled Manual,registered
926,"Jai, Ashlee",Partial College,Skilled Manual,registered
927,"Foster, Eduardo",Partial College,Skilled Manual,registered
928,"Murphy, Nicole",Partial College,Skilled Manual,registered
929,"Morris, Isabella",Partial College,Skilled Manual,registered
932,"Adams, Marcus",Partial College,Skilled Manual,registered
933,"Coleman, Elizabeth",Partial College,Skilled Manual,registered
934,"Rubio, Mathew",Partial High School,Clerical,registered
935,"Shan, Justin",Partial High School,Clerical,registered
936,"Taylor, Jessica",Partial College,Skilled Manual,registered
937,"Clark, Hunter",Partial College,Skilled Manual,registered
938,"Perez, Devin",Partial College,Skilled Manual,registered
939,"Alexander, Seth",Partial College,Skilled Manual,registered
940,"Washington, Kevin",Partial College,Skilled Manual,registered
941,"Miller, Tyler",Bachelors,Management,registered
942,"Roberts, Adam",Partial College,Skilled Manual,registered
946,"Huang, Dennis",Partial College,Skilled Manual,registered
950,"Brooks, Julia",Partial College,Skilled Manual,registered
951,"Carter, Jordan",Partial College,Skilled Manual,registered
954,"Wright, Courtney",High School,Skilled Manual,registered
955,"Garcia, Joseph",Partial College,Skilled Manual,registered
956,"Green, Gabriel",Partial College,Skilled Manual,registered
957,"Sandberg, Alexandria",High School,Skilled Manual,registered
958,"Hernandez, Courtney",Partial College,Skilled Manual,registered
959,"Lal, Dylan",Partial College,Professional,registered
960,"Davis, Elizabeth",Partial College,Professional,registered
961,"Griffin, Ana",Partial College,Professional,registered
962,"Alvarez, Anne",Partial College,Professional,registered
963,"Roberts, Alexandra",Partial College,Professional,registered
971,"Collins, Bailey",Bachelors,Management,registered
972,"Adams, Amanda",Bachelors,Management,registered
973,"Williams, Katherine",Partial College,Professional,registered
974,"Barnes, Caroline",Partial College,Professional,registered
975,"Sun, Randy",Partial College,Professional,registered
976,"Garcia, Destiny",High School,Professional,registered
979,"Washington, Jackson",Graduate Degree,Management,registered
981,"Richardson, Kimberly",High School,Professional,registered
982,"Howard, Alexandria",High School,Professional,registered
983,"Foster, Alexandra",High School,Professional,registered
984,"Ortega, Cheryl",Partial College,Professional,registered
986,"Hughes, Melanie",Bachelors,Management,registered
1016,"White, Jacob",High School,Skilled Manual,registered
1017,"Serrano, Meredith",High School,Skilled Manual,registered
1019,"Henderson, Devin",High School,Skilled Manual,registered
1020,"Cox, Gabrielle",High School,Skilled Manual,registered
1023,"Wright, Jose",High School,Skilled Manual,registered
1024,"Johnson, Fernando",Partial High School,Clerical,registered
1025,"Edwards, Samuel",High School,Skilled Manual,registered
1026,"Diaz, Logan",High School,Skilled Manual,registered
1027,"Flores, Lucas",High School,Skilled Manual,registered
1028,"Wood, Haley",High School,Skilled Manual,registered
1029,"Lewis, Sarah",Partial High School,Clerical,registered
1030,"Hu, Damien",Partial High School,Clerical,registered
1031,"Washington, Ana",High School,Skilled Manual,registered
1034,"Guo, Kristen",High School,Skilled Manual,registered
1041,"Torres, Richard",Partial College,Skilled Manual,registered
1042,"Martin, Seth",High School,Skilled Manual,registered
1043,"Carter, Alex",High School,Skilled Manual,registered
1044,"Patterson, Carson",Partial College,Skilled Manual,registered
1045,"Lopez, Madeline",Partial College,Skilled Manual,registered
1046,"Russell, Luis",Partial College,Skilled Manual,registered
1051,"Young, Aaron",Graduate Degree,Management,registered
1052,"Scott, Isaiah",Bachelors,Management,registered
1053,"Ward, Makayla",Bachelors,Management,registered
1054,"Gao, Cedric",Graduate Degree,Management,registered
1058,"Collins, Madeline",Graduate Degree,Management,registered
1059,"Nelson, Chloe",Bachelors,Management,registered
1060,"Jenkins, Jason",Bachelors,Management,registered
1069,"Jenkins, Maria",Bachelors,Management,registered
1070,"Kelly, Garrett",Bachelors,Management,registered
1071,"Ross, Luke",Bachelors,Management,registered
1072,"Robinson, Robert",Bachelors,Management,registered
1073,"Ross, Tristan",Bachelors,Management,registered
1074,"Rodriguez, Thomas",Bachelors,Management,registered
1076,"Griffin, Cameron",Bachelors,Management,registered
1077,"Washington, Chloe",Bachelors,Management,registered
1079,"Edwards, Jose",Bachelors,Management,registered
1080,"Cooper, Nathaniel",Bachelors,Management,registered
1086,"Rodriguez, Tyler",Bachelors,Management,registered
1088,"Cook, Sean",Bachelors,Management,registered
1089,"Thompson, Lauren",Bachelors,Management,registered
1092,"Munoz, Eddie",High School,Professional,registered
1093,"White, Austin",High School,Professional,registered
1094,"Chandra, Levi",Partial College,Professional,registered
1095,"Bailey, Bailey",Bachelors,Management,registered
1096,"Griffin, Austin",Bachelors,Management,registered
1097,"Brooks, Caitlin",Bachelors,Management,registered
1099,"Clark, Grace",Partial College,Professional,registered
1100,"Hall, Sydney",Partial College,Professional,registered
1101,"Sun, Jon",Bachelors,Management,registered
1102,"Patterson, Logan",Partial College,Professional,registered
1103,"Simmons, Devin",Partial College,Professional,registered
1104,"White, Chloe",Partial College,Professional,registered
1105,"Ross, Mariah",Partial College,Professional,registered
1106,"Foster, Abigail",Partial College,Professional,registered
1109,"Walker, James",Partial College,Professional,registered
1110,"Foster, Morgan",Partial College,Professional,registered
1111,"Guo, Bianca",Partial College,Professional,registered
1112,"Gonzales, Jacqueline",Partial College,Professional,registered
1113,"Henderson, Arianna",Partial College,Professional,registered
1116,"Richardson, Chloe",High School,Professional,registered
1126,"Ortega, Diana",Partial College,Professional,registered
1129,"Munoz, Kristy",High School,Professional,registered
1130,"Alvarez, Wendy",High School,Professional,registered
1131,"Zhou, Suzanne",High School,Professional,registered
1136,"Taylor, Fernando",Partial College,Professional,registered
1138,"Green, Jack",Graduate Degree,Management,registered
1139,"Jai, Colin",Graduate Degree,Management,registered
1140,"Yang, Franklin",Graduate Degree,Management,registered
1142,"Lee, Kaitlyn",Partial College,Professional,registered
1143,"Torres, Gabriella",Bachelors,Management,registered
1144,"Turner, Logan",Bachelors,Management,registered
1145,"Jenkins, Kelly",Partial College,Professional,registered
1146,"Butler, Brandon",Partial College,Professional,registered
1147,"Thomas, Xavier",Bachelors,Management,registered
1149,"Morris, Gabrielle",Partial College,Professional,registered
1150,"Scott, Bailey",Partial College,Professional,registered
1151,"Wang, Logan",Graduate Degree,Management,registered
1152,"Kelly, Steven",Bachelors,Management,registered
1153,"Ramirez, Adrian",Bachelors,Management,registered
1154,"Bailey, Kaitlyn",Partial College,Professional,registered
1156,"Lopez, Gabriella",Partial College,Professional,registered
1157,"Raji, Bonnie",Graduate Degree,Management,registered
1158,"White, William",Graduate Degree,Management,registered
1161,"Zhang, Jaclyn",Partial College,Professional,registered
